name;latitude;longitude;address
Iracema bar;-19.9184527;-43.9248847;R. Almandina, 56 , Santa Teresa, Belo Horizonte - MG, 31010-080
Ivo Grill;-19.8373456;-43.9464948;Rua Professor Tristão da Cunha, 183 , Planalto, Belo Horizonte - MG, 31720-520
Já Tô Inno;-19.9780450;-44.0154909;R. Benjamim Dias, 379 , Barreiro, Belo Horizonte - MG, 30640-520
Juzé Bar;-19.8414871;-43.9890445;R. Carlos Sá, 180, Jardim Atlântico, Belo Horizonte - MG, 31550-200
Köbes Emporium Bar;-19.9119307;-43.9157622;R. Professor Raimundo Nonato, 31 - A , Santa Tereza, Belo Horizonte - MG, 31010-520
Koqueiros Bar;-19.9109127;-43.9260469;Av. Silviano Brandão, 1293 , Sagrada Família, Belo Horizonte - MG, 31030-525
Leo da Quadra;-19.9761639;-44.0131047;R. Oliveira Lisboa, 107 , Barreiro, Belo Horizonte - MG, 30640-470
Locomotivas Bar;-19.8815093;-43.9090525;R. Carmésia, 568 , Santa Inês, Belo Horizonte - MG, 31080-170
Magnífico Quintal;-19.8421348;-43.9759104;R. Doutor Jefferson de Oliveira, 56 , Santa Amélia, Belo Horizonte - MG, 31560-230
Magrelo’s bar;-19.8735161;-44.0130017;Av. Serrana, 635 , Belo Horizonte - MG, 31360-270
Mamute Bar;-19.9453396;-43.9286133;R. Brás Cubas, 116 , Cruzeiro, Belo Horizonte - MG, 30310-220
Mineiros Beer;-19.8881972;-43.996875;R. Romualdo Lopes Cançado, 399 , Castelo, Belo Horizonte - MG, 30840-460
Mulão;-19.9090992;-43.9683517;R. Marambaia, 291 , Caiçara, Belo Horizonte - MG, 30770-070
Nosso Spetim;-19.8299231;-43.9791637;Rua dos Astecas, 3219 , Santa Mônica, Belo Horizonte - MG, 31530-300
NUBAR;-19.8902904;-44.0007213;Avenida dos Engenheiros, 843 , Belo Horizonte - MG, 30840-300
O Fino do Alho;-19.8066128;-43.9563356;R. Capitão Sérgio Pires, 41 , Minascaixa, Belo Horizonte - MG, 31615-640
Oratório Bar;-19.9241341;-43.921453;Av. Brasil, 161 , Santa Efigênia, Belo Horizonte - MG, 30140-000
Parada 10.95 Bar;-19.8902904;-44.0007213;Avenida dos Engenheiros, 1095 , Alípio de Melo, Belo Horizonte - MG, 30840-300
Parada do Sabor;-19.8373712;-43.9480678;Av. General Carlos Guedes, 346 , Planalto, Belo Horizonte - MG, 31720-500
Pé de Cana;-19.9489897;-43.9322579;R. Flórida, 15 , Belo Horizonte - MG, 30310-710
Pé de Goiaba;-19.9297143;-43.9746581;Av. Amazonas, 4676  , Nova Suíça, Belo Horizonte - MG, 30421-026
Planeta Lúpulo;-19.8388542;-43.977372;Av. Guarapari, 108 , Santa Amélia, Belo Horizonte - MG, 31560-300
PoiZé Bar e Petisqueira;-19.9426434;-43.9299187;R. Pium-I, 686  , Cruzeiro, Belo Horizonte - MG, 30310-080
Prado Beer;-19.924344;-43.9592689;Av. Francisco Sá, 590 , Prado, Belo Horizonte - MG, 30441-018
Queremos Frango;-19.8396478;-43.9332774;Avenida Joaquim Clemente, 730 ,  Belo Horizonte - MG, 31840-340
Quintal do Louzada;-19.9388489;-43.9752421;Rua Gávea, 358  , Belo Horizonte - MG, 30421-340
Quioxque Botequim Carioca;-19.9744485;-43.9759493;Rua Henrique Badaró Portugal, 157 , Buritis, Belo Horizonte - MG, 30575-232
Quitandas da Tia Nice Bar;-19.9121372;-43.9210181;R. Alabastro, 146  , Horto, Belo Horizonte - MG, 31030-080
Recanto da Traíra;-19.8809841;-43.9283326;Rua Alberto Cintra, 47  , Belo Horizonte - MG, 31160-370
Reforma Bar;-19.9354463;-43.9772205;Rua Joaquim Nabuco, 577  , Belo Horizonte - MG, 30421-260
Rei da Picanha;-19.8614898;-43.9437183;Avenida Sebastião de Brito, 400  , Belo Horizonte - MG, 31260-000
Rei do Peixe;-19.8307182;-43.9654983;R. Ramalho Ortigão, 735 , Santa Branca, Belo Horizonte - MG, 31565-100
Resenha da Naty;-19.8892256;-43.946499;R. Gonçalves Lêdo, 288 , Cachoeirinha, Belo Horizonte - MG, 31130-290
S.O.S Pub;-19.9520894;-43.9926409;Avenida Padre José Maurício, 1126 , Vista Alegre, Belo Horizonte - MG, 30514-000
Sant’Esquina Butiquim;-19.8307182;-43.9654983;Rua Ramalho Ortigão, 650  ,Belo Horizonte - MG, 31565-100
Santa Boemia;-19.9164357;-43.9175219;R. Mármore, 534 , Santa Teresa, Belo Horizonte - MG, 31010-220
Santuário Retrô;-19.9160217;-43.9899947;Av. Padre Vieira, 150 , Minas Brasil, Belo Horizonte - MG, 30730-240
Seu Justino;-19.8022926;-43.9995124;Rua Dona Conceição Martins, 63 , Belo Horizonte - MG, 31680-010
Sô Bar;-19.8842816;-43.9967121;Av. Altamiro Avelino Soares, 426 , Castelo, Belo Horizonte - MG, 31330-000
Spetim;-19.8918598;-43.929371;R. Ilacir Pereira Lima, 518 , Silveira, Belo Horizonte - MG, 31140-540
Sunset Bar;-19.8344409;-43.8686921;R. Érico Veríssimo, 2039 , Belo Horizonte - MG, 31998-270
Tanganica Art Bar;-19.9254737;-43.9917045;R. Padre Demerval Gomes, 380 , Coração Eucarístico, Belo Horizonte - MG, 30535-470
Toca do Ogro;-19.8543191;-43.9568613;R. Professor Nelson de Sena, 4 , Pampulha, Belo Horizonte - MG, 31270-660
Toninho – Alto Forno;-19.8999841;-43.9522977;R. Miracema, 100 , Santo André, Belo Horizonte - MG, 31230-660
Us Motoca;-19.9407705;-44.0148074;R. Blenda, 91 , Camargos, Belo Horizonte - MG, 30520-170
Via Deslandes;-19.9503283;-43.9286988;Rua Francisco Deslandes, 10  , Belo Horizonte - MG, 30310-530
Xambar;-19.9249095;-43.9382087;Av. Augusto de Lima, 233 - Edifício Maleta  , Centro, Belo Horizonte - MG, 30160-906
Zé Bolacha;-19.8211972;-43.9515485;Rua das Melancias, 35 , Vila Clóris, Belo Horizonte - MG, 31744-063
Zoo Bar;-19.8545889;-44.0040585;Av. Otacílio Negrão de Lima, 7844 , Pampulha, Belo Horizonte - MG, 31365-450
