name;address
Rei do Peixe;R. Ramalho Ortigão, 735 , Santa Branca, Belo Horizonte - MG, 31565-100
Resenha da Naty;R. Gonçalves Lêdo, 288 , Cachoeirinha, Belo Horizonte - MG, 31130-290
S.O.S Pub;Avenida Padre José Maurício, 1126 , Vista Alegre, Belo Horizonte - MG, 30514-000
Sant’Esquina Butiquim;Rua Ramalho Ortigão, 650  ,Belo Horizonte - MG, 31565-100
Santa Boemia;R. Mármore, 534 , Santa Teresa, Belo Horizonte - MG, 31010-220
Santuário Retrô;Av. Padre Vieira, 150 , Minas Brasil, Belo Horizonte - MG, 30730-240
Seu Justino;Rua Dona Conceição Martins, 63 , Belo Horizonte - MG, 31680-010
Sô Bar;Av. Altamiro Avelino Soares, 426 , Castelo, Belo Horizonte - MG, 31330-000
Spetim;R. Ilacir Pereira Lima, 518 , Silveira, Belo Horizonte - MG, 31140-540
Sunset Bar;R. Érico Veríssimo, 2039 , Belo Horizonte - MG, 31998-270
Tanganica Art Bar;R. Padre Demerval Gomes, 380 , Coração Eucarístico, Belo Horizonte - MG, 30535-470
Toca do Ogro;R. Professor Nelson de Sena, 4 , Pampulha, Belo Horizonte - MG, 31270-660
Toninho – Alto Forno;R. Miracema, 100 , Santo André, Belo Horizonte - MG, 31230-660
Us Motoca;R. Blenda, 91 , Camargos, Belo Horizonte - MG, 30520-170
Via Deslandes;Rua Francisco Deslandes, 10  , Belo Horizonte - MG, 30310-530
Xambar;Av. Augusto de Lima, 233 - Edifício Maleta  , Centro, Belo Horizonte - MG, 30160-906
Zé Bolacha;Rua das Melancias, 35 , Vila Clóris, Belo Horizonte - MG, 31744-063
Zoo Bar;Av. Otacílio Negrão de Lima, 7844 , Pampulha, Belo Horizonte - MG, 31365-450
